REF,REF_NAME,Total_INV_Q_COLIS,Month,Semaine,Monthly_INV_Q_COLIS,Previous Month Sales,Sales_Percentage
340017153,B&N CAC GR À SEC  120G (75X24),152,1942-09,1.2024,33,7148.0,0
340017153,B&N CAC GR À SEC  120G (75X24),152,2024-02,16.2024,119,12315.0,0
340017155,B&N CAC GR À SEC  320G (32X24),26,2023-09,9.2024,26,3272.0,0
340017387,B&N CAC GR À SEC  320G+10% (32X24),1462,2023-05,1.2024,8,96.0,8
340017387,B&N CAC GR À SEC  320G+10% (32X24),1462,2023-12,11.2024,82,64.0,128
340017387,B&N CAC GR À SEC  320G+10% (32X24),1462,2024-01,7.2024,546,8.0,6825
340017387,B&N CAC GR À SEC  320G+10% (32X24),1462,2024-03,14.2024,738,448.0,164
340017387,B&N CAC GR À SEC  320G+10% (32X24),1462,2024-03,16.2024,88,352.0,25
340017455,B&N TW MEXIC 150G (48X20),59,2023-05,1.2024,12,1.0,1200
340017455,B&N TW MEXIC 150G (48X20),59,2023-09,17.2024,47,0.0,0
340017457,B&N TW BACON 150G (48X20),37,2023-09,15.2024,36,0.0,0
340017457,B&N TW BACON 150G (48X20),37,2023-10,7.2024,1,0.0,0
340017458,B&N TW SEL 150G (48X20),2,2023-09,16.2024,2,0.0,0
340017459,B&N TW BBQ 150G (48X20),47,2023-10,12.2024,47,0.0,0
340017492,B&N MÉLANGE GR À SEC 100G (75X24),13,2023-12,15.2024,13,2627.0,0
340017497,B&N CAC GR ÀSEC  100GX3 (60X12),44,1943-08,10.2024,1,1313.0,0
340017497,B&N CAC GR ÀSEC  100GX3 (60X12),44,2023-08,4.2024,42,1113.0,3
340017497,B&N CAC GR ÀSEC  100GX3 (60X12),44,2023-08,6.2024,1,1109.0,0
340017533,B&N CAC GR SALÉES  220G (48X24),131,2023-03,1.2024,96,17295.0,0
340017533,B&N CAC GR SALÉES  220G (48X24),131,2023-10,1.2024,35,17295.0,0
340017546,B&N CAC GR SALÉES  220GX2 OS (48X12),740,2023-11,12.2024,740,612.0,120
340017547,B&N CAC GR À SEC  163GX2 OS (48X12),39,2023-08,3.2024,7,2784.0,0
340017547,B&N CAC GR À SEC  163GX2 OS (48X12),39,2023-10,8.2024,32,0.0,0
340017573,B&N PISTACHE SEL 125G (60X24),94,1942-09,1.2024,22,0.0,0
340017573,B&N PISTACHE SEL 125G (60X24),94,1943-08,10.2024,6,60.0,10
340017573,B&N PISTACHE SEL 125G (60X24),94,2023-08,3.2024,66,22.0,300
340017911,B&N BOX 108U GAS163G GS220G X2OS (4X108),24,2023-08,5.2024,23,0.0,0
340017911,B&N BOX 108U GAS163G GS220G X2OS (4X108),24,2023-10,6.2024,1,0.0,0
340017917,LAYS CHIPS NATURE 25G EX (96X24),31,2023-10,3.2024,21,0.0,0
340017917,LAYS CHIPS NATURE 25G EX (96X24),31,2023-11,2.2024,10,0.0,0
340017926,LAYS CHIPS BBQ 27.5G EX (96X24),3796,2023-11,4.2024,1610,6789.0,23
